EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Trigger
2487.5879028944687,-7719.984994730292,-9077.342638188411,-10343.644494197366,-15582.686776903793,-15812.767579090274,-9216.83210175002,-22205.774647048667,0.0
2478.894373619307,-7736.717061348926,-9095.110782953538,-10356.78005966381,-15593.142829922414,-15817.959878766947,-9222.536486027831,-22219.184118231995,0.0
2481.014165689141,-7741.921269969811,-9099.576637033244,-10361.650817846743,-15593.166647810838,-15820.49648388422,-9220.107061408471,-22217.159597715865,0.0
2494.614179979874,-7736.181158859361,-9089.477852341,-10354.279181379175,-15590.55858902829,-15828.463567562418,-9221.869585151928,-22216.36169845362,0.0
2510.572165224692,-7721.8904258043,-9075.28239083964,-10343.251499038352,-15587.259811481412,-15818.198057651198,-9216.582013921556,-22212.681834691946,0.0
2502.1049058895683,-7724.700936638462,-9079.10516193187,-10347.693535229635,-15591.011128908367,-15817.566883607935,-9221.929129872991,-22209.28778559137,0.0
2485.58720026676,-7738.169952542857,-9090.954561423358,-10359.257120060021,-15599.907110235143,-15836.740283790139,-9235.13614900471,-22213.515460786824,0.0
2496.6387004960075,-7736.169249915149,-9086.750704116326,-10354.231545602324,-15589.546328770222,-15825.176698959755,-9229.765215164849,-22223.48324709273,0.0
2510.0243537909146,-7730.167142032023,-9080.331783185762,-10345.954829374601,-15581.114796267735,-15817.638337273207,-9220.61914600961,-22209.81177913672,0.0
2489.862511239066,-7733.799370016851,-9085.452629197158,-10353.04065118107,-15588.295889627905,-15824.962337963925,-9223.822652002786,-22208.5613399944,0.0
2487.6474476155313,-7733.037197587248,-9083.892557505314,-10352.552384468354,-15587.045450485588,-15821.627833584414,-9222.39357869728,-22205.83419176973,0.0
2506.5588510250623,-7727.5948100821115,-9080.820049898475,-10349.348878475179,-15588.41497907003,-15817.554974663723,-9219.392524755718,-22203.166588266115,0.0
2526.899327740099,-7725.15347651854,-9080.022150636234,-10343.168136428865,-15582.877320011195,-15811.457595226893,-9215.069578006562,-22200.463257929867,0.0
